
I20241208 00:52:25 2111763 dinov2 train.py:276] Starting training from iteration 182610
I20241208 00:55:55 2111763 dinov2 helpers.py:102] Training  [182720/202900]  eta: 10:35:14  lr: 0.0000 (0.0000)  wd: 0.1961 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.5445 (12.5875)  dino_local_crops_loss: 9.7445 (9.7340)  dino_global_crops_loss: 1.2078 (1.2070)  kde_loss: -0.4978 (-0.4978)  ibot_loss: 2.0821 (2.1443)  time: 1.928559  data: 1.084181  max mem: 60049
I20241208 00:56:13 2111763 dinov2 helpers.py:102] Training  [182730/202900]  eta: 10:32:57  lr: 0.0000 (0.0000)  wd: 0.1961 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.5722 (12.5926)  dino_local_crops_loss: 9.7576 (9.7377)  dino_global_crops_loss: 1.2105 (1.2076)  kde_loss: -0.4978 (-0.4978)  ibot_loss: 2.1084 (2.1450)  time: 1.880945  data: 1.038850  max mem: 60049
I20241208 00:56:32 2111763 dinov2 helpers.py:102] Training  [182740/202900]  eta: 10:33:48  lr: 0.0000 (0.0000)  wd: 0.1961 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.6412 (12.5935)  dino_local_crops_loss: 9.7607 (9.7378)  dino_global_crops_loss: 1.2125 (1.2077)  kde_loss: -0.4978 (-0.4978)  ibot_loss: 2.1345 (2.1458)  time: 1.873160  data: 1.038691  max mem: 60049
I20241208 00:56:51 2111763 dinov2 helpers.py:102] Training  [182750/202900]  eta: 10:34:11  lr: 0.0000 (0.0000)  wd: 0.1961 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.5527 (12.5903)  dino_local_crops_loss: 9.7381 (9.7374)  dino_global_crops_loss: 1.2080 (1.2077)  kde_loss: -0.4980 (-0.4978)  ibot_loss: 2.1073 (2.1430)  time: 1.922023  data: 1.086548  max mem: 60049
I20241208 00:57:10 2111763 dinov2 helpers.py:102] Training  [182760/202900]  eta: 10:32:14  lr: 0.0000 (0.0000)  wd: 0.1961 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.5610 (12.5922)  dino_local_crops_loss: 9.7385 (9.7384)  dino_global_crops_loss: 1.2088 (1.2079)  kde_loss: -0.4980 (-0.4978)  ibot_loss: 2.1201 (2.1437)  time: 1.865330  data: 1.036188  max mem: 60049
I20241208 00:57:29 2111763 dinov2 helpers.py:102] Training  [182770/202900]  eta: 10:32:38  lr: 0.0000 (0.0000)  wd: 0.1961 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.6680 (12.5979)  dino_local_crops_loss: 9.7764 (9.7410)  dino_global_crops_loss: 1.2145 (1.2084)  kde_loss: -0.4978 (-0.4978)  ibot_loss: 2.1789 (2.1463)  time: 1.866145  data: 1.036405  max mem: 60049
I20241208 00:57:47 2111763 dinov2 helpers.py:102] Training  [182780/202900]  eta: 10:30:59  lr: 0.0000 (0.0000)  wd: 0.1961 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.6680 (12.5999)  dino_local_crops_loss: 9.7764 (9.7418)  dino_global_crops_loss: 1.2145 (1.2085)  kde_loss: -0.4978 (-0.4978)  ibot_loss: 2.1789 (2.1474)  time: 1.867812  data: 1.029355  max mem: 60049
I20241208 00:58:06 2111763 dinov2 helpers.py:102] Training  [182790/202900]  eta: 10:30:47  lr: 0.0000 (0.0000)  wd: 0.1961 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.6331 (12.6037)  dino_local_crops_loss: 9.7606 (9.7431)  dino_global_crops_loss: 1.2109 (1.2087)  kde_loss: -0.4978 (-0.4978)  ibot_loss: 2.1692 (2.1497)  time: 1.852716  data: 1.011588  max mem: 60049
I20241208 00:58:25 2111763 dinov2 helpers.py:102] Training  [182800/202900]  eta: 10:30:50  lr: 0.0000 (0.0000)  wd: 0.1962 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.6881 (12.6106)  dino_local_crops_loss: 9.7727 (9.7459)  dino_global_crops_loss: 1.2145 (1.2092)  kde_loss: -0.4978 (-0.4978)  ibot_loss: 2.2033 (2.1533)  time: 1.895310  data: 1.057280  max mem: 60049
I20241208 00:58:43 2111763 dinov2 helpers.py:102] Training  [182810/202900]  eta: 10:29:26  lr: 0.0000 (0.0000)  wd: 0.1962 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.6248 (12.6097)  dino_local_crops_loss: 9.7520 (9.7451)  dino_global_crops_loss: 1.2108 (1.2091)  kde_loss: -0.4978 (-0.4978)  ibot_loss: 2.1702 (2.1534)  time: 1.860531  data: 1.019153  max mem: 60049
